resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
25267,5,1,1067,830,9,2,58,1067-830,22.442,1,3
25268,5,1,1067,815,9,3,58,1067-815,22.463,1,7
25269,5,1,1067,844,6,4,58,1067-844,23.646,1,4
25270,5,1,1067,1,131,5,58,1067-1,22.684,1,1
25271,5,1,1067,842,213,6,58,1067-842,29.31,1,5
25272,5,1,1067,846,1,7,58,1067-846,23.239,1,8
25273,5,1,1067,832,6,8,58,1067-832,28.353,1,15
25274,5,1,1067,840,117,9,58,1067-840,35.509,0,9
25275,5,1,1067,839,214,10,57,1067-839,50,1,12
25276,5,1,1067,841,51,11,57,1067-841,23.15,1,18
25277,5,1,1067,8,51,12,57,1067-8,23.164,1,19
25278,5,1,1067,817,1,13,57,1067-817,23.028,1,16
25279,5,1,1067,852,213,14,57,1067-852,23.329,1,10
25280,5,1,1067,847,3,15,57,1067-847,23.551,1,13
25281,5,1,1067,4,214,16,57,1067-4,29.116,1,6
25282,5,1,1067,849,3,17,57,1067-849,24.104,2,17
25283,5,1,1067,20,117,18,57,1067-20,23.5,1,11
25284,5,1,1067,854,210,19,56,1067-854,23.892,1,14
25285,5,1,1067,853,210,20,56,1067-853,23.829,2,20
25286,69,0,1069,830,9,1,56,1069-830,23.727,2,1
25287,69,0,1069,1,131,2,56,1069-1,24.481,2,2
25288,69,0,1069,815,9,3,56,1069-815,25.018,2,3
25289,69,0,1069,844,6,4,56,1069-844,24.011,2,5
25290,69,0,1069,817,1,5,56,1069-817,24.176,2,7
25291,69,0,1069,822,131,6,56,1069-822,24.444,2,4
25292,69,0,1069,832,6,7,56,1069-832,23.414,2,6
25293,69,0,1069,846,1,8,56,1069-846,24.385,2,8
25294,69,0,1069,852,213,9,55,1069-852,23.802,2,10
25295,69,0,1069,20,117,10,55,1069-20,24.977,2,12
25296,69,0,1069,841,51,11,55,1069-841,23.993,2,13
25297,69,0,1069,840,117,12,55,1069-840,23.827,2,16
25298,69,0,1069,8,51,13,55,1069-8,24.191,2,18
